,Gender,Age_Group,Race_or_Ethnicity,Education,Observed_Rate,Ideal_Rate,LogDisparity,user_n,pValue,BH_p
1,Female,NA,NA,NA,0.385523364,0.445186715,-0.246031253,3952,5.41E-34,5.41E-34
2,Male,NA,NA,NA,0.614476636,0.554813285,0.246031253,6299,5.41E-34,5.41E-34
3,NA,18-44,NA,NA,0.002536338,0.146745611,-4.214137259,26,0,0
4,NA,45-64,NA,NA,0.655643352,0.44687477,0.857245115,6721,0,0
5,NA,64+,NA,NA,0.34182031,0.406379619,-0.276240509,3504,2.07E-40,2.07E-40
6,NA,NA,Hispanic,NA,0.071895425,0.184799719,-1.073770594,737,1.20E-190,4.79E-190
7,NA,NA,NH Black,NA,0.190517998,0.145801771,0.321267448,1953,1.13E-37,2.26E-37
8,NA,NA,NH White,NA,0.623646474,0.569263339,0.226208498,6393,1.01E-28,1.34E-28
9,NA,NA,Other,NA,0.113940103,0.100135171,0.144611926,1168,3.22E-06,3.22E-06
10,NA,NA,NA,<HSG,0.148477157,0.215576058,-0.454959372,1521,2.87E-61,1.15E-60
11,NA,NA,NA,>=College grad,0.25985943,0.233837669,0.140067618,2662,4.90E-10,6.53E-10
12,NA,NA,NA,HSG/GED,0.263959391,0.209120114,0.304747285,2704,2.07E-42,4.14E-42
13,NA,NA,NA,Some college/TS,0.327704022,0.341466158,-0.061820524,3357,0.003310153,0.003310153
14,Female,NA,Hispanic,NA,0.034923422,0.089472614,-0.998958339,358,2.04E-83,1.02E-82
15,Female,NA,NH Black,NA,0.095112672,0.078749709,0.206708955,975,7.71E-10,1.10E-09
16,Female,NA,NH White,NA,0.210613599,0.234784331,-0.139740406,2159,7.76E-09,9.70E-09
17,Female,NA,Other,NA,0.044873671,0.042180065,0.064719692,460,0.174839081,0.174839081
18,Male,NA,Hispanic,NA,0.036972003,0.095327098,-1.009662207,379,5.02E-90,5.02E-89
19,Male,NA,NH Black,NA,0.095405326,0.067052095,0.383526942,978,1.71E-30,2.85E-30
20,Male,NA,NH White,NA,0.413032875,0.334478986,0.336554534,4234,9.29E-64,3.10E-63
21,Male,NA,Other,NA,0.069066433,0.057955102,0.187265239,708,1.47E-06,1.64E-06
22,Male,18-44,NA,NA,0.002536338,0.064402252,-3.298457421,26,1.26E-143,3.35E-143
23,Male,45-64,NA,NA,0.390986245,0.256515946,0.620988018,4008,2.27E-213,9.10E-213
24,Male,64+,NA,NA,0.220954053,0.233895088,-0.073668799,2265,0.00196639,0.00196639
25,Female,18-44,NA,NA,0,0.082343364,#NAME?,0,#NAME?,#NAME?
26,Female,45-64,NA,NA,0.264657107,0.190358803,0.425778594,2713,7.76E-82,1.55E-81
27,Female,64+,NA,NA,0.120866257,0.172484547,-0.416132291,1239,1.61E-43,2.57E-43
28,Female,NA,NA,<HSG,0.068430301,0.110601525,-0.526443808,701,3.55E-42,3.55E-41
29,Female,NA,NA,>=College grad,0.077411168,0.079863188,-0.033845268,793,0.359928073,0.359928073
30,Female,NA,NA,HSG/GED,0.113334635,0.086613015,0.298586731,1161,6.87E-22,1.37E-21
31,Female,NA,NA,Some college/TS,0.126317845,0.16808231,-0.33463563,1294,1.25E-29,3.13E-29
32,Male,NA,NA,<HSG,0.080046857,0.104974525,-0.298576085,820,1.86E-16,2.65E-16
33,Male,NA,NA,>=College grad,0.182448262,0.153974472,0.203915163,1869,1.41E-15,1.76E-15
34,Male,NA,NA,HSG/GED,0.150624756,0.122507091,0.239190568,1543,3.96E-18,6.61E-18
35,Male,NA,NA,Some college/TS,0.201386177,0.173383874,0.184179192,2063,7.08E-14,7.87E-14
36,NA,18-44,Hispanic,NA,0.000975515,0.04281634,-3.824493981,10,3.12E-97,8.32E-97
37,NA,45-64,Hispanic,NA,0.049068384,0.09289234,-0.685407286,503,9.58E-53,1.92E-52
38,NA,64+,Hispanic,NA,0.021851527,0.049091053,-0.837649167,224,2.58E-37,4.13E-37
39,NA,18-44,NH White,NA,0,0.063188257,#NAME?,0,#NAME?,#NAME?
40,NA,45-64,NH White,NA,0.398497708,0.234345039,0.77220847,4085,0,0
41,NA,64+,NH White,NA,0.225148766,0.271730048,-0.250047,2308,2.92E-26,3.90E-26
42,NA,18-44,NH Black,NA,0.000390206,0.029975356,-4.371500009,4,2.94E-127,1.18E-126
43,NA,45-64,NH Black,NA,0.128280168,0.072531315,0.632189236,1315,5.27E-105,1.69E-104
44,NA,64+,NH Black,NA,0.061847625,0.043295111,0.376216562,634,2.72E-20,3.11E-20
45,NA,18-44,Other,NA,0.001170618,0.01076563,-2.228479936,12,4.79E-21,5.90E-21
46,NA,45-64,Other,NA,0.079797093,0.047106072,0.561994555,818,5.12E-55,1.17E-54
47,NA,64+,Other,NA,0.032972393,0.042263438,-0.25790603,338,2.93E-06,3.13E-06
48,NA,NA,Hispanic,<HSG,0.028992581,0.088968318,-1.184996798,297,7.11E-101,7.11E-100
49,NA,NA,Hispanic,>=College grad,0.007809449,0.010023261,-0.251807713,80,0.024489805,0.024489805
