,SBP,BMI,Smoker,Observed_Rate,Ideal_Rate,LogDisparity,user_n,pValue,BH_p
1,SBP 120-129,NA,NA,0.192356688,0.24059196,-0.285332267,1963,4.20E-30,4.20E-30
2,SBP 130-139,NA,NA,0.253307202,0.166304238,0.530998812,2585,3.51E-123,4.68E-123
3,SBP<120,NA,NA,0.157275845,0.322820893,-0.937800308,1605,3.52E-280,1.41E-279
4,SBP>=140,NA,NA,0.397060265,0.270282909,0.575458507,4052,7.21E-183,1.44E-182
5,NA,Normal weight,NA,0.08374817,0.105594887,-0.255928063,858,6.23E-13,1.25E-12
6,NA,Obese,NA,0.626842362,0.614056357,0.054298788,6422,0.007850626,0.007850626
7,NA,Overweight,NA,0.289116642,0.276532232,0.062050458,2962,0.004402541,0.005870055
8,NA,Underweight,NA,0.000292826,0.003816524,-2.571048572,3,2.63E-13,1.05E-12
9,NA,NA,No smoke,0.860598966,0.713073148,0.909917007,8822,3.97E-239,3.97E-239
10,NA,NA,Smoke,0.139401034,0.286926852,-0.909917007,1429,3.97E-239,3.97E-239
11,SBP 120-129,Normal weight,NA,0.015098039,0.015774502,-0.044517012,154,0.58348551,0.614195274
12,SBP 120-129,Obese,NA,0.126078431,0.173328868,-0.373870258,1286,1.94E-36,3.23E-36
13,SBP 120-129,Overweight,NA,0.051078431,0.051408664,-0.006792462,521,0.879952364,0.879952364
14,SBP 120-129,Underweight,NA,0,0,-9999999,0,-9999999,-99999990
15,SBP 130-139,Normal weight,NA,0.018823529,0.012829785,0.389428393,192,7.49E-08,9.37E-08
16,SBP 130-139,Obese,NA,0.156764706,0.118266484,0.326449411,1599,2.18E-33,3.35E-33
17,SBP 130-139,Overweight,NA,0.077647059,0.034663693,0.852029443,792,1.71E-124,4.88E-124
18,SBP 130-139,Underweight,NA,9.80E-05,0.000304923,-1.134897466,1,0.386795663,0.429772959
19,SBP<120,Normal weight,NA,0.014803922,0.046515602,-1.177613283,151,3.14E-52,5.72E-52
20,SBP<120,Obese,NA,0.098235294,0.17248286,-0.648856114,1002,1.14E-87,2.54E-87
21,SBP<120,Overweight,NA,0.044215686,0.099810573,-0.874121558,451,2.73E-78,5.45E-78
22,SBP<120,Underweight,NA,0,0.001942822,#NAME?,0,#NAME?,#NAME?
23,SBP>=140,Normal weight,NA,0.035196078,0.027280857,0.262919909,359,9.24E-07,1.09E-06
24,SBP>=140,Obese,NA,0.245392157,0.153327407,0.585397889,2503,7.53E-147,2.51E-146
25,SBP>=140,Overweight,NA,0.116372549,0.09206296,0.261463476,1187,2.03E-17,2.71E-17
26,SBP>=140,Underweight,NA,0.000196078,0,-8888888,2,-8888888,-59259253.33
27,SBP 120-129,NA,No smoke,0.164429201,0.183703674,-0.134181551,1678,4.95E-07,5.40E-07
28,SBP 120-129,NA,Smoke,0.027927487,0.065193106,-0.886832772,285,1.66E-52,2.49E-52
