,Gender,Age_Group,Race_or_Ethnicity,Education,Observed_Rate,Ideal_Rate,LogDisparity,user_n,pValue,BH_p
1,Female,NA,NA,NA,0.468807147,0.521468498,-0.210860482,15638,1.31E-82,1.31E-82
2,Male,NA,NA,NA,0.531192853,0.478531502,0.210860482,17719,1.31E-82,1.31E-82
3,NA,18-39,NA,NA,0,0.140826564,#NAME?,0,#NAME?,#NAME?
4,NA,40-59,NA,NA,0.190724586,0.359680493,-0.868557705,6362,0,0
5,NA,59+,NA,NA,0.809275414,0.499492943,1.447337098,26995,0,0
6,NA,NA,Hispanic,NA,0.190125011,0.120951634,0.534251087,6342,0,0
7,NA,NA,NH Asian,NA,0.011002188,0.041731649,-1.364729864,367,2.59E-173,2.59E-173
8,NA,NA,NH Black,NA,0.31801421,0.141892432,1.036747456,10608,0,0
9,NA,NA,NH White,NA,0.470815721,0.648579232,-0.729669856,15705,0,0
10,NA,NA,Other,NA,0.01004287,0.046845054,-1.577866702,335,4.82E-222,6.03E-222
11,NA,NA,NA,<HSG,0.369724383,0.166183924,1.079518297,11362,0,0
12,NA,NA,NA,>=College grad,0.055221112,0.250391048,-1.743077788,1697,0,0
13,NA,NA,NA,HSG/GED,0.287266929,0.237730124,0.256469437,8828,1.69E-92,1.69E-92
14,NA,NA,NA,Some college/TS,0.287787576,0.345694903,-0.268136441,8844,4.39E-101,5.85E-101
15,Female,NA,Hispanic,NA,0.106484396,0.063086334,0.570921636,3552,3.82E-233,1.15E-232
16,Female,NA,NH Asian,NA,0.004766616,0.020181321,-1.458730655,159,3.63E-89,6.22E-89
17,Female,NA,NH Black,NA,0.172077825,0.082872608,0.832969479,5740,0,0
18,Female,NA,NH White,NA,0.18128129,0.328668808,-0.793478641,6047,0,0
19,Female,NA,Other,NA,0.00419702,0.026659427,-1.871583424,140,4.48E-143,1.08E-142
20,Male,NA,Hispanic,NA,0.083640615,0.057865291,0.396151118,2790,2.11E-90,4.23E-90
21,Male,NA,NH Asian,NA,0.006235573,0.021550329,-1.255651495,208,1.11E-82,1.57E-82
22,Male,NA,NH Black,NA,0.145936385,0.059019829,1.002213715,4868,0,0
23,Male,NA,NH White,NA,0.289534431,0.319910436,-0.143462833,9658,1.27E-32,1.27E-32
24,Male,NA,Other,NA,0.005845849,0.020185616,-1.25376746,195,2.10E-77,2.29E-77
25,Male,18-39,NA,NA,0,0.080887047,#NAME?,0,#NAME?,#NAME?
26,Male,40-59,NA,NA,0.095212399,0.189313177,-0.797110889,3176,0,0
27,Male,59+,NA,NA,0.435980454,0.208331265,1.077522111,14543,0,0
28,Female,18-39,NA,NA,0,0.059939517,#NAME?,0,#NAME?,#NAME?
29,Female,40-59,NA,NA,0.095512186,0.170367316,-0.665088722,3186,1.54E-289,2.47E-289
30,Female,59+,NA,NA,0.373294961,0.291161678,0.371641643,12452,4.25E-239,5.67E-239
31,Female,NA,NA,<HSG,0.190686929,0.092193042,0.841594235,5860,0,0
32,Female,NA,NA,>=College grad,0.013471739,0.112444507,-2.2275867,414,0,0
33,Female,NA,NA,HSG/GED,0.135595978,0.121548987,0.125482216,4167,4.85E-14,4.85E-14
34,Female,NA,NA,Some college/TS,0.121278188,0.195325947,-0.564613774,3727,3.90E-235,7.79E-235
35,Male,NA,NA,<HSG,0.179037454,0.073990883,1.004059739,5502,0,0
36,Male,NA,NA,>=College grad,0.041749374,0.137946541,-1.300973853,1283,0,0
37,Male,NA,NA,HSG/GED,0.151670951,0.116181138,0.307546421,4661,5.74E-84,9.56E-84
38,Male,NA,NA,Some college/TS,0.166509388,0.150368956,0.121139459,5117,2.45E-15,2.72E-15
39,NA,18-39,Hispanic,NA,0,0.026832375,#NAME?,0,#NAME?,#NAME?
40,NA,40-59,Hispanic,NA,0.042509818,0.048995777,-0.148796014,1418,4.07E-08,4.07E-08
41,NA,59+,Hispanic,NA,0.147615193,0.04512347,1.298750303,4924,0,0
42,NA,18-39,NH Asian,NA,0,0.007107869,#NAME?,0,#NAME?,#NAME?
43,NA,40-59,NH Asian,NA,0.002368318,0.014040445,-1.791530682,79,2.28E-73,3.03E-73
44,NA,59+,NH Asian,NA,0.00863387,0.020583335,-0.880915719,288,2.56E-53,3.02E-53
45,NA,18-39,NH Black,NA,0,0.026765864,#NAME?,0,#NAME?,#NAME?
46,NA,40-59,NH Black,NA,0.070060257,0.06224194,0.12669883,2337,3.41E-09,3.59E-09
47,NA,59+,NH Black,NA,0.247953953,0.05288463,1.775753672,8271,0,0
48,NA,18-39,NH White,NA,0,0.071300987,#NAME?,0,#NAME?,#NAME?
49,NA,40-59,NH White,NA,0.073747639,0.218434631,-1.255685747,2460,0,0
50,NA,59+,NH White,NA,0.397068082,0.358843623,0.162690154,13245,5.46E-48,6.07E-48
51,NA,18-39,Other,NA,0,0.008819469,#NAME?,0,#NAME?,#NAME?
52,NA,40-59,Other,NA,0.002038553,0.015967687,-2.072382952,68,1.42E-91,2.03E-91
53,NA,59+,Other,NA,0.008004317,0.022057899,-1.027958049,267,2.18E-68,2.73E-68
54,NA,NA,Hispanic,<HSG,0.104519866,0.055381015,0.688561925,3212,0,0
55,NA,NA,Hispanic,>=College grad,0.00455566,0.014027648,-1.134220634,140,2.90E-45,4.03E-45
56,NA,NA,Hispanic,HSG/GED,0.037291334,0.023355584,0.482296671,1146,7.52E-59,1.11E-58
57,NA,NA,Hispanic,Some college/TS,0.032475351,0.02803236,0.151703403,998,2.38E-06,2.58E-06
58,NA,NA,NH Asian,<HSG,0.002603235,0.010806738,-1.431674014,80,5.58E-44,7.34E-44
59,NA,NA,NH Asian,>=College grad,0.001236536,0.016928539,-2.632522821,38,6.83E-101,1.22E-100
