,SBP,BMI,Smoker,Observed_Rate,Ideal_Rate,LogDisparity,user_n,pValue,BH_p
1,SBP 120-129,NA,NA,0.094852655,0.245082715,-1.130760639,3164,0,0
2,SBP 130-139,NA,NA,0.170998591,0.198862543,-0.185147844,5704,3.12E-37,3.12E-37
3,SBP<120,NA,NA,0.042869563,0.238696568,-1.945938751,1430,0,0
4,SBP>=140,NA,NA,0.691279192,0.317358174,1.572045732,23059,0,0
5,NA,Normal weight,NA,0.195197663,0.162269816,0.22485159,6414,6.03E-59,8.04E-59
6,NA,Obese,NA,0.414254846,0.535587243,-0.488993524,13612,0,0
7,NA,Overweight,NA,0.382087099,0.294094097,0.394883255,12555,1.74E-268,3.48E-268
8,NA,Underweight,NA,0.008460391,0.008048844,0.050281895,278,0.403773628,0.403773628
9,NA,NA,No smoke,0.781052316,0.5836066,0.934212679,26052,0,0
10,NA,NA,Smoke,0.218947684,0.4163934,-0.934212679,7303,0,0
11,SBP 120-129,Normal weight,NA,0.017529444,0.028836434,-0.509333158,576,1.73E-34,2.30E-34
12,SBP 120-129,Obese,NA,0.040628138,0.142990856,-1.371149964,1335,0,0
13,SBP 120-129,Overweight,NA,0.03636751,0.071489894,-0.713009031,1195,8.09E-135,1.35E-134
14,SBP 120-129,Underweight,NA,0.000639094,0.001982569,-1.13344183,21,4.38E-08,5.15E-08
15,SBP 130-139,Normal weight,NA,0.032776408,0.029223706,0.118395146,1077,0.000131581,0.000131581
16,SBP 130-139,Obese,NA,0.072400256,0.117811864,-0.537074139,2379,8.27E-144,1.50E-143
17,SBP 130-139,Overweight,NA,0.064670258,0.048696275,0.300633116,2125,2.94E-41,4.52E-41
18,SBP 130-139,Underweight,NA,0.001369488,0.002440085,-0.578668545,45,8.37E-05,8.81E-05
19,SBP<120,Normal weight,NA,0.009251651,0.04261487,-1.561656054,304,5.70E-197,1.14E-196
20,SBP<120,Obese,NA,0.017072948,0.122856626,-2.087387257,561,0,0
21,SBP<120,Overweight,NA,0.016312121,0.072445209,-1.549678837,536,0,0
22,SBP<120,Underweight,NA,0.000365197,0.001161957,-1.15822236,12,2.24E-05,2.49E-05
23,SBP>=140,Normal weight,NA,0.135640159,0.056882606,0.956217491,4457,0,0
24,SBP>=140,Obese,NA,0.284153504,0.150264725,0.808575135,9337,0,0
25,SBP>=140,Overweight,NA,0.264737211,0.107479663,1.095257355,8699,0,0
26,SBP>=140,Underweight,NA,0.006086612,0.002822661,0.771690041,200,7.00E-29,8.75E-29
27,SBP 120-129,NA,No smoke,0.073452256,0.153569654,-0.827956282,2450,0,0
28,SBP 120-129,NA,Smoke,0.021406086,0.086143246,-1.460779209,714,0,0
29,SBP 130-139,NA,No smoke,0.134762404,0.127602013,0.062838695,4495,8.87E-05,8.87E-05
30,SBP 130-139,NA,Smoke,0.03624644,0.093703554,-1.011264118,1209,6.05E-284,8.06E-284
31,SBP<120,NA,No smoke,0.032079149,0.139756077,-1.58962669,1070,0,0
32,SBP<120,NA,Smoke,0.010792985,0.118683819,-2.51305381,360,0,0
33,SBP>=140,NA,No smoke,0.540758507,0.162364168,1.804138269,18037,0,0
34,SBP>=140,NA,Smoke,0.150502174,0.118177469,0.279135503,5020,1.04E-74,1.25E-74
35,NA,Normal weight,No smoke,0.132505554,0.064643758,0.793051361,4354,0,0
36,NA,Normal weight,Smoke,0.062692109,0.101652103,-0.525775066,2060,8.56E-121,1.71E-120
37,NA,Obese,No smoke,0.342889315,0.337282091,0.024985,11267,0.031564771,0.037877725
38,NA,Obese,Smoke,0.071365532,0.200918109,-1.185334165,2345,0,0
39,NA,Overweight,No smoke,0.300465626,0.176053281,0.698237608,9873,0,0
40,NA,Overweight,Smoke,0.081621474,0.109462323,-0.324272253,2682,9.04E-59,1.36E-58
41,NA,Underweight,No smoke,0.004504093,0.0060942,-0.303949486,148,0.000212573,0.00028343
42,NA,Underweight,Smoke,0.003956298,0.003894135,0.015899729,130,0.856424295,0.856424295
43,SBP 120-129,Normal weight,No smoke,0.0112298,0.012549016,-0.112406354,369,0.031695658,0.032317141
44,SBP 120-129,Normal weight,Smoke,0.006299644,0.023189495,-1.320349284,207,5.42E-92,9.72E-92
45,SBP 120-129,Obese,No smoke,0.033537235,0.094767095,-1.104216452,1102,0,0
46,SBP 120-129,Obese,Smoke,0.007090904,0.038688057,-1.729058322,233,7.71E-194,1.74E-193
47,SBP 120-129,Overweight,No smoke,0.02851578,0.047884786,-0.538479207,937,9.36E-61,1.47E-60
48,SBP 120-129,Overweight,Smoke,0.00785173,0.023623033,-1.117512128,258,4.78E-79,8.01E-79
49,SBP 120-129,Underweight,No smoke,0.000304331,0,-8888888,10,-8888888,-154074058.7
50,SBP 120-129,Underweight,Smoke,0.000334764,0,-8888888,11,-8888888,-231111088
51,SBP 130-139,Normal weight,No smoke,0.022550899,0.015602038,0.3754574,741,2.87E-24,3.73E-24
52,SBP 130-139,Normal weight,Smoke,0.010225509,0.025990056,-0.948884146,336,3.96E-72,6.43E-72
53,SBP 130-139,Obese,No smoke,0.060440062,0.082776414,-0.338551354,1986,7.01E-49,1.07E-48
54,SBP 130-139,Obese,Smoke,0.011960194,0.051931313,-1.509634046,393,6.99E-234,1.91E-233
55,SBP 130-139,Overweight,No smoke,0.051036246,0.024621797,0.756358657,1677,1.29E-209,3.36E-209
56,SBP 130-139,Overweight,Smoke,0.013634012,0.016163861,-0.172778492,448,0.00027633,0.000299357
57,SBP 130-139,Underweight,No smoke,0.000912992,0.004166908,-1.521464684,30,5.36E-20,6.79E-20
58,SBP 130-139,Underweight,Smoke,0.000456496,0.000613659,-0.296016951,15,0.249980602,0.249980602
59,SBP<120,Normal weight,No smoke,0.006025746,0.013523422,-0.815953541,198,5.77E-32,7.90E-32
60,SBP<120,Normal weight,Smoke,0.003225905,0.02846019,-2.202934767,106,1.38E-166,3.00E-166
61,SBP<120,Obese,No smoke,0.013694878,0.088588034,-1.945945642,450,0,0
62,SBP<120,Obese,Smoke,0.00337807,0.053964843,-2.823120013,111,0,0
63,SBP<120,Overweight,No smoke,0.012416689,0.036640436,-1.106945074,408,8.26E-121,1.59E-120
64,SBP<120,Overweight,Smoke,0.003895432,0.035242954,-2.234436964,128,1.57E-208,3.88E-208
65,SBP<120,Underweight,No smoke,0.000121732,0,-8888888,4,-8888888,-462222176
66,SBP<120,Underweight,Smoke,0.000243464,0.002276484,-2.237452061,8,1.05E-14,1.27E-14
67,SBP>=140,Normal weight,No smoke,0.092699108,0.016868311,1.784190993,3046,0,0
68,SBP>=140,Normal weight,Smoke,0.042941051,0.026053396,0.517171622,1411,2.64E-82,4.58E-82
69,SBP>=140,Obese,No smoke,0.23521714,0.072777974,1.365696834,7729,0,0
70,SBP>=140,Obese,Smoke,0.048936364,0.053094025,-0.085924807,1608,0.000775924,0.00082343
71,SBP>=140,Overweight,No smoke,0.208496911,0.071329499,1.232434471,6851,0,0
72,SBP>=140,Overweight,Smoke,0.056240299,0.035085446,0.49401513,1848,1.82E-96,3.38E-96
73,SBP>=140,Underweight,No smoke,0.003165038,0.002291054,0.32402969,104,0.000920747,0.000957577
74,SBP>=140,Underweight,Smoke,0.002921574,0.001236403,0.861604905,96,3.54E-18,4.38E-18
