,Gender,Age_Group,Race_or_Ethnicity,Education,Observed_Rate,Ideal_Rate,LogDisparity,user_n,pValue,BH_p
1,Female,NA,NA,NA,0.355944878,0.521468498,-0.678935257,3332,1.64E-225,1.64E-225
2,Male,NA,NA,NA,0.644055122,0.478531502,0.678935257,6029,1.64E-225,1.64E-225
3,NA,18-39,NA,NA,0,0.140826564,#NAME?,0,#NAME?,#NAME?
4,NA,40-59,NA,NA,0.211088559,0.359680493,-0.741625152,1976,3.56E-197,3.56E-197
5,NA,59+,NA,NA,0.788911441,0.499492943,1.320404544,7385,0,0
6,NA,NA,Hispanic,NA,0.105280034,0.120951634,-0.156437812,985,3.34E-06,3.34E-06
7,NA,NA,NH Asian,NA,0.008443779,0.041731649,-1.631977593,79,2.51E-58,4.18E-58
8,NA,NA,NH Black,NA,0.30076956,0.141892432,0.95602424,2814,0,0
9,NA,NA,NH White,NA,0.578238563,0.648579232,-0.297253212,5410,4.40E-46,5.50E-46
10,NA,NA,Other,NA,0.007268063,0.046845054,-1.904038767,68,2.36E-73,5.90E-73
11,NA,NA,NA,<HSG,0.019154628,0.166183924,-2.322952766,179,0,0
12,NA,NA,NA,>=College grad,0.399571964,0.250391048,0.689278871,3734,5.93E-243,1.19E-242
13,NA,NA,NA,HSG/GED,0.162653826,0.237730124,-0.47344884,1520,3.56E-65,4.75E-65
14,NA,NA,NA,Some college/TS,0.418619583,0.345694903,0.309574434,3912,1.04E-49,1.04E-49
15,Female,NA,Hispanic,NA,0.048418127,0.063086334,-0.280164476,453,5.35E-09,5.84E-09
16,Female,NA,NH Asian,NA,0.002992732,0.020181321,-1.925961344,28,2.96E-32,4.44E-32
17,Female,NA,NH Black,NA,0.13638307,0.082872608,0.558280106,1276,1.23E-78,2.45E-78
18,Female,NA,NH White,NA,0.166203506,0.328668808,-0.898564372,1555,2.19E-245,1.32E-244
19,Female,NA,Other,NA,0.002030782,0.026659427,-2.599710076,19,1.73E-49,2.97E-49
20,Male,NA,Hispanic,NA,0.056861907,0.057865291,-0.018556553,532,0.677652671,0.677652671
21,Male,NA,NH Asian,NA,0.005451047,0.021550329,-1.390903282,51,7.86E-27,1.05E-26
22,Male,NA,NH Black,NA,0.16438649,0.059019829,1.143102691,1538,0,0
23,Male,NA,NH White,NA,0.412035058,0.319910436,0.398624545,3855,2.34E-81,5.62E-81
24,Male,NA,Other,NA,0.005237281,0.020185616,-1.364308883,49,8.56E-25,1.03E-24
25,Male,18-39,NA,NA,0,0.080887047,#NAME?,0,#NAME?,#NAME?
26,Male,40-59,NA,NA,0.141865185,0.189313177,-0.345404851,1328,1.03E-31,1.17E-31
27,Male,59+,NA,NA,0.502189937,0.208331265,1.34377341,4701,0,0
28,Female,18-39,NA,NA,0,0.059939517,#NAME?,0,#NAME?,#NAME?
29,Female,40-59,NA,NA,0.069223374,0.170367316,-1.015654481,648,2.30E-149,3.07E-149
30,Female,59+,NA,NA,0.286721504,0.291161678,-0.02161181,2684,0.344338251,0.344338251
31,Female,NA,NA,<HSG,0.009202782,0.092193042,-2.391856937,86,2.93E-169,5.85E-169
32,Female,NA,NA,>=College grad,0.121669342,0.112444507,0.089295143,1137,0.004760504,0.004760504
33,Female,NA,NA,HSG/GED,0.063991439,0.121548987,-0.70503253,598,5.11E-65,7.30E-65
34,Female,NA,NA,Some college/TS,0.160513644,0.195325947,-0.23864367,1500,2.09E-17,2.62E-17
35,Male,NA,NA,<HSG,0.009951846,0.073990883,-2.073053327,93,1.17E-123,1.95E-123
36,Male,NA,NA,>=College grad,0.277902622,0.137946541,0.877561825,2597,0,0
37,Male,NA,NA,HSG/GED,0.098662386,0.116181138,-0.183074483,922,1.26E-07,1.40E-07
38,Male,NA,NA,Some college/TS,0.258105939,0.150368956,0.675873865,2412,1.18E-186,2.96E-186
39,NA,18-39,Hispanic,NA,0,0.026832375,#NAME?,0,#NAME?,#NAME?
40,NA,40-59,Hispanic,NA,0.031958102,0.048995777,-0.445065253,299,2.27E-14,2.38E-14
41,NA,59+,Hispanic,NA,0.073321932,0.04512347,0.515433095,686,1.94E-39,2.77E-39
42,NA,18-39,NH Asian,NA,0,0.007107869,#NAME?,0,#NAME?,#NAME?
43,NA,40-59,NH Asian,NA,0.001068833,0.014040445,-2.588445368,10,1.50E-26,1.88E-26
44,NA,59+,NH Asian,NA,0.007374947,0.020583335,-1.03978898,69,2.30E-19,2.55E-19
45,NA,18-39,NH Black,NA,0,0.026765864,#NAME?,0,#NAME?,#NAME?
46,NA,40-59,NH Black,NA,0.103997435,0.06224194,0.55888589,973,9.77E-63,1.78E-62
47,NA,59+,NH Black,NA,0.196772125,0.05288463,1.478716052,1841,0,0
48,NA,18-39,NH White,NA,0,0.071300987,#NAME?,0,#NAME?,#NAME?
49,NA,40-59,NH White,NA,0.0716118,0.218434631,-1.287378106,670,6.78E-259,1.70E-258
50,NA,59+,NH White,NA,0.506626764,0.358843623,0.60689529,4740,3.76E-195,8.35E-195
51,NA,18-39,Other,NA,0,0.008819469,#NAME?,0,#NAME?,#NAME?
52,NA,40-59,Other,NA,0.002351432,0.015967687,-1.92928484,22,8.02E-26,9.44E-26
53,NA,59+,Other,NA,0.004916631,0.022057899,-1.51842328,46,1.49E-29,1.99E-29
54,NA,NA,Hispanic,<HSG,0.007708779,0.055381015,-2.021111963,72,3.08E-90,8.56E-90
