"","Gender_D","Age_D","Race_or_Ethnicity_D","Education_D","SBP_R","BMI_R","Smoker_R","TC_L","FPG_L","user_n"
"1","Female","40-59","NH White","<HSG","SBP<120","Normal weight","No smoke","Normal TC","Glucose>=126",1
"2","Female","40-59","NH White","<HSG","SBP<120","Obese","No smoke","High TC","Glucose 100-125",1
"3","Female","40-59","NH White","<HSG","SBP<120","Obese","No smoke","High TC",NA,1
"4","Female","40-59","NH White","<HSG","SBP<120","Obese","No smoke","Normal TC","Glucose 100-125",1
"5","Female","40-59","NH White","<HSG","SBP<120","Obese","No smoke",NA,NA,1
"6","Female","40-59","NH White","<HSG","SBP<120","Obese","Smoke","High TC","Glucose>=126",1
"7","Female","40-59","NH White","<HSG","SBP 120-129","Normal weight","No smoke","Normal TC","Glucose<100",1
"8","Female","40-59","NH White","<HSG","SBP 120-129","Normal weight","Smoke","High TC","Glucose<100",1
"9","Female","40-59","NH White","<HSG","SBP 120-129","Overweight","No smoke","High TC","Glucose<100",1
"10","Female","40-59","NH White","<HSG","SBP 120-129","Overweight","Smoke","High TC","Glucose<100",1
"11","Female","40-59","NH White","<HSG","SBP 120-129","Obese","No smoke","High TC","Glucose<100",2
"12","Female","40-59","NH White","<HSG","SBP 120-129","Obese","No smoke","High TC","Glucose 100-125",1
"13","Female","40-59","NH White","<HSG","SBP 120-129","Obese","No smoke","High TC","Glucose>=126",3
"14","Female","40-59","NH White","<HSG","SBP 120-129","Obese","No smoke","High TC",NA,1
"15","Female","40-59","NH White","<HSG","SBP 120-129","Obese","No smoke","Normal TC","Glucose 100-125",1
"16","Female","40-59","NH White","<HSG","SBP 120-129","Obese","Smoke","Normal TC","Glucose 100-125",1
"17","Female","40-59","NH White","<HSG","SBP 120-129","Obese","Smoke",NA,NA,1
"18","Female","40-59","NH White","<HSG","SBP 120-129",NA,"No smoke","Normal TC","Glucose<100",1
"19","Female","40-59","NH White","<HSG","SBP 130-139","Underweight","Smoke","Normal TC","Glucose 100-125",1
"20","Female","40-59","NH White","<HSG","SBP 130-139","Normal weight","No smoke","High TC","Glucose<100",1
"21","Female","40-59","NH White","<HSG","SBP 130-139","Normal weight","No smoke","High TC","Glucose>=126",1
"22","Female","40-59","NH White","<HSG","SBP 130-139","Normal weight","Smoke","High TC","Glucose<100",3
"23","Female","40-59","NH White","<HSG","SBP 130-139","Overweight","No smoke","High TC",NA,1
"24","Female","40-59","NH White","<HSG","SBP 130-139","Overweight","No smoke","Normal TC","Glucose>=126",1
"25","Female","40-59","NH White","<HSG","SBP 130-139","Overweight","Smoke","High TC","Glucose<100",1
"26","Female","40-59","NH White","<HSG","SBP 130-139","Overweight","Smoke","High TC","Glucose 100-125",1
"27","Female","40-59","NH White","<HSG","SBP 130-139","Overweight","Smoke","High TC","Glucose>=126",2
"28","Female","40-59","NH White","<HSG","SBP 130-139","Overweight","Smoke","High TC",NA,1
"29","Female","40-59","NH White","<HSG","SBP 130-139","Obese","No smoke","High TC","Glucose<100",2
"30","Female","40-59","NH White","<HSG","SBP 130-139","Obese","No smoke","High TC","Glucose 100-125",1
"31","Female","40-59","NH White","<HSG","SBP 130-139","Obese","No smoke","High TC","Glucose>=126",2
"32","Female","40-59","NH White","<HSG","SBP 130-139","Obese","No smoke","High TC",NA,2
"33","Female","40-59","NH White","<HSG","SBP 130-139","Obese","No smoke","Normal TC","Glucose>=126",1
"34","Female","40-59","NH White","<HSG","SBP 130-139","Obese","No smoke","Normal TC",NA,1
