"","Gender_D","Age_D","Race_or_Ethnicity_D","Education_D","SBP_R","BMI_R","Smoker_R","TC_L","FPG_L","user_n"
"1","Female","40-59","NH White","HSG/GED","SBP 130-139","Overweight","No smoke","Normal TC","Glucose 100-125",1
"2","Female","40-59","NH White","HSG/GED","SBP 130-139","Overweight","No smoke","Normal TC",NA,1
"3","Female","40-59","NH White","HSG/GED","SBP 130-139","Obese","No smoke","High TC","Glucose<100",1
"4","Female","40-59","NH White","HSG/GED","SBP 130-139","Obese","Smoke","High TC","Glucose<100",2
"5","Female","40-59","NH White","HSG/GED","SBP>=140","Normal weight","No smoke","High TC","Glucose 100-125",1
"6","Female","40-59","NH White","HSG/GED","SBP>=140","Normal weight","Smoke","High TC","Glucose<100",1
"7","Female","40-59","NH White","HSG/GED","SBP>=140","Normal weight","Smoke","High TC","Glucose 100-125",1
"8","Female","40-59","NH White","HSG/GED","SBP>=140","Overweight","No smoke","High TC","Glucose<100",1
"9","Female","40-59","NH White","HSG/GED","SBP>=140","Overweight","No smoke","High TC",NA,1
"10","Female","40-59","NH White","HSG/GED","SBP>=140","Overweight","No smoke","Normal TC","Glucose 100-125",1
"11","Female","40-59","NH White","HSG/GED","SBP>=140","Overweight","No smoke",NA,"Glucose<100",1
"12","Female","40-59","NH White","HSG/GED","SBP>=140","Overweight","Smoke","High TC","Glucose<100",1
"13","Female","40-59","NH White","HSG/GED","SBP>=140","Obese","No smoke","High TC","Glucose<100",1
"14","Female","40-59","NH White","HSG/GED","SBP>=140","Obese","No smoke","Normal TC","Glucose<100",1
"15","Female","40-59","NH White","HSG/GED","SBP>=140","Obese","No smoke",NA,NA,1
"16","Female","40-59","NH White","Some college/TS","SBP 130-139","Overweight","No smoke","High TC","Glucose<100",2
"17","Female","40-59","NH White","Some college/TS","SBP 130-139","Overweight","No smoke","High TC",NA,1
"18","Female","40-59","NH White","Some college/TS","SBP 130-139","Overweight","No smoke","Normal TC","Glucose<100",1
"19","Female","40-59","NH White","Some college/TS","SBP 130-139","Overweight","Smoke","High TC","Glucose<100",3
"20","Female","40-59","NH White","Some college/TS","SBP 130-139","Overweight","Smoke","High TC","Glucose 100-125",1
"21","Female","40-59","NH White","Some college/TS","SBP 130-139","Obese","No smoke","High TC","Glucose<100",2
"22","Female","40-59","NH White","Some college/TS","SBP 130-139","Obese","No smoke","Normal TC","Glucose<100",1
