"","Gender_D","Age_D","Race_or_Ethnicity_D","Education_D","SBP_R","BMI_R","Smoker_R","TC_L","FPG_L","user_n"
"1","Female","45-64","NH White","<HSG","SBP<120","Overweight","No smoke","Normal TC","Glucose>=126",2
"2","Female","45-64","NH White","<HSG","SBP<120","Overweight","Smoke","Normal TC","Glucose 100-125",1
"3","Female","45-64","NH White","<HSG","SBP<120","Obese","No smoke","High TC","Glucose 100-125",1
"4","Female","45-64","NH White","<HSG","SBP<120","Obese","No smoke","High TC","Glucose>=126",6
"5","Female","45-64","NH White","<HSG","SBP<120","Obese","No smoke","Normal TC","Glucose<100",1
"6","Female","45-64","NH White","<HSG","SBP<120","Obese","No smoke","Normal TC","Glucose 100-125",4
"7","Female","45-64","NH White","<HSG","SBP<120","Obese","No smoke","Normal TC","Glucose>=126",8
"8","Female","45-64","NH White","<HSG","SBP<120","Obese","Smoke","High TC","Glucose<100",1
"9","Female","45-64","NH White","<HSG","SBP<120","Obese","Smoke","High TC","Glucose>=126",2
"10","Female","45-64","NH White","<HSG","SBP<120","Obese","Smoke","Normal TC","Glucose>=126",2
"11","Female","45-64","NH White","<HSG","SBP 120-129","Overweight","No smoke","High TC","Glucose>=126",3
"12","Female","45-64","NH White","<HSG","SBP 120-129","Overweight","No smoke","Normal TC","Glucose>=126",1
"13","Female","45-64","NH White","<HSG","SBP 120-129","Obese","No smoke","High TC","Glucose 100-125",1
"14","Female","45-64","NH White","<HSG","SBP 120-129","Obese","No smoke","High TC","Glucose>=126",5
"15","Female","45-64","NH White","<HSG","SBP 120-129","Obese","No smoke","Normal TC","Glucose>=126",6
"16","Female","45-64","NH White","<HSG","SBP 120-129","Obese","Smoke","High TC","Glucose>=126",2
"17","Female","45-64","NH White","<HSG","SBP 120-129","Obese","Smoke","Normal TC","Glucose>=126",3
"18","Female","45-64","NH White","<HSG","SBP 130-139","Normal weight","No smoke","Normal TC","Glucose>=126",1
"19","Female","45-64","NH White","<HSG","SBP 130-139","Overweight","No smoke","High TC","Glucose>=126",1
"20","Female","45-64","NH White","<HSG","SBP 130-139","Overweight","No smoke","Normal TC","Glucose>=126",2
"21","Female","45-64","NH White","<HSG","SBP 130-139","Overweight","No smoke",NA,NA,1
"22","Female","45-64","NH White","<HSG","SBP 130-139","Obese","No smoke","High TC","Glucose>=126",4
"23","Female","45-64","NH White","<HSG","SBP 130-139","Obese","No smoke","Normal TC","Glucose>=126",14
"24","Female","45-64","NH White","<HSG","SBP>=140","Normal weight","No smoke","High TC","Glucose>=126",1
"25","Female","45-64","NH White","<HSG","SBP>=140","Normal weight","Smoke","Normal TC","Glucose>=126",1
"26","Female","45-64","NH White","<HSG","SBP>=140","Overweight","No smoke","High TC","Glucose 100-125",1
"27","Female","45-64","NH White","<HSG","SBP>=140","Overweight","No smoke","High TC","Glucose>=126",5
"28","Female","45-64","NH White","<HSG","SBP>=140","Overweight","Smoke","High TC","Glucose>=126",1
